130,-3,-1,0,1.0
113,-10,-1,0,2.0
102,-14,0,0,3.0
131,-2,0,0,3.0
112,-11,2,0,3.0
122,-6,1,0,1.0
125,-5,3,0,2.0
132,-2,8,0,1.0
135,0,11,0,2.0
90,-20,8,0,2.0
95,-17,12,0,1.0
123,-6,15,0,2.0
119,-7,16,0,2.0
126,-5,25,0,3.0
127,-5,28,0,2.0
104,-14,28,0,2.0
98,-16,24,0,3.0
89,-22,25,0,2.0
96,-17,28,0,2.0
92,-18,22,0,2.0
103,-14,22,0,3.0
114,-10,24,0,2.0
117,-8,27,0,2.0
110,-12,20,0,2.0
93,-18,27,0,2.0
88,-22,18,0,1.0
145,6,20,0,3.0
173,22,24,0,3.0
148,8,26,0,1.0
142,4,27,0,2.0
136,0,25,0,3.0
174,22,28,0,1.0
108,-13,-2,0,3.0
109,-12,-3,0,2.0
116,-9,-9,0,3.0
157,14,17,0,2.0
